Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Evan Mobley,35:56,8,18,.444,4,8,.500,2,5,.400,0,8,8,3,3,1,3,3,22,15.4,0
Donovan Mitchell,35:53,12,25,.480,2,9,.222,5,5,1.000,0,2,2,5,2,1,3,2,31,21.3,-14
Sam Merrill,28:22,6,11,.545,5,10,.500,2,2,1.000,1,2,3,1,0,0,1,6,19,12.3,-1
Jarrett Allen,28:13,1,4,.250,0,0,,2,4,.500,0,4,4,1,2,0,1,0,4,3.7,-4
Jaylon Tyson,20:13,2,4,.500,1,3,.333,0,0,,1,1,2,1,0,1,2,4,5,1.8,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Dean Wade,28:07,3,3,1.000,3,3,1.000,1,2,.500,0,2,2,0,1,1,0,4,10,9.4,0
Lonzo Ball,23:29,1,7,.143,1,7,.143,0,0,,1,3,4,6,0,0,4,0,3,0.3,-3
Larry Nance Jr.,16:59,4,7,.571,2,2,1.000,0,0,,1,5,6,1,0,0,1,3,10,7.4,-2
Tyrese Proctor,16:06,2,5,.400,1,3,.333,0,0,,0,1,1,2,0,0,0,2,5,3.2,-1
Craig Porter Jr.,6:43,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,1.3,-9
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nae'Qwan Tomlin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luke Travers,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,86,.465,19,46,.413,12,18,.667,4,28,32,21,8,4,15,25,111,,
