Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Austin Reaves,39:09,13,22,.591,3,8,.375,12,14,.857,0,4,4,5,3,0,8,2,41,28.9,0
Rui Hachimura,36:25,6,12,.500,2,5,.400,2,4,.500,1,5,6,1,0,1,3,2,16,9.0,-8
Deandre Ayton,35:33,8,15,.533,0,0,,0,0,,5,3,8,2,2,1,3,4,16,12.6,-10
Jake LaRavia,29:05,1,6,.167,0,3,.000,1,2,.500,1,5,6,5,0,0,1,2,3,2.7,-27
Jarred Vanderbilt,28:02,6,11,.545,0,1,.000,2,2,1.000,4,4,8,3,3,0,1,1,14,16.4,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Dalton Knecht,24:42,5,13,.385,2,8,.250,4,4,1.000,0,2,2,1,2,1,2,1,16,10.5,-1
Nick Smith Jr.,20:04,1,5,.200,0,2,.000,0,0,,0,3,3,3,0,1,2,2,2,-0.2,-13
Bronny James,19:41,0,2,.000,0,0,,0,0,,1,2,3,3,1,1,3,3,0,-0.5,-2
Chris Mañon,3:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,+3
Christian Koloko,3:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-6
Jaxson Hayes,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Maxi Kleber,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,40,86,.465,7,27,.259,21,26,.808,12,30,42,23,11,5,25,19,108,,
