Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,34:49,.632,.538,.154,.769,0.0,25.4,11.0,38.9,1.2,2.0,14.7,23.0,120,121,5.9
Trae Young,34:18,.558,.393,.500,.929,0.0,3.7,1.6,22.6,1.3,0.0,9.2,24.9,113,126,-3.2
Kristaps Porziņģis,25:34,.683,.583,.583,.500,7.5,24.7,14.9,13.1,0.0,5.4,12.0,25.5,125,122,6.2
Dyson Daniels,22:44,.500,.500,.250,.000,4.2,11.1,7.2,12.5,3.8,0.0,42.9,12.1,71,120,-7.9
Zaccharie Risacher,20:36,.615,.615,.462,.000,9.3,0.0,5.3,0.0,0.0,3.3,0.0,24.8,120,128,3.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luke Kennard,30:27,.403,.357,.714,.143,0.0,16.6,7.2,13.6,1.4,0.0,28.7,13.5,68,124,-9.4
Onyeka Okongwu,29:45,.723,.708,.167,.083,6.5,17.0,11.0,6.4,0.0,0.0,0.0,16.4,145,127,2.3
Nickeil Alexander-Walker,28:05,.283,.167,.333,.400,3.4,13.5,7.8,19.8,1.5,2.4,5.4,26.1,72,123,-9.1
Keaton Wallace,8:41,,,,,0.0,0.0,0.0,0.0,4.9,0.0,100.0,4.5,0,119,-11.0
Mouhamed Gueye,5:01,,,,,0.0,0.0,0.0,0.0,0.0,13.7,,0.0,0,121,-0.4
Vit Krejci,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Asa Newell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
N'Faly Dante,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.555,.478,.389,.411,16.0,68.4,38.6,65.8,6.3,8.6,13.1,100.0,105.5,123.4,
