Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deni Avdija,32:24,.666,.618,.471,.235,3.0,10.6,6.5,16.9,1.4,7.5,13.8,25.1,132,102,9.9
Jrue Holiday,30:23,.800,.800,.467,.000,0.0,18.8,8.7,30.4,1.5,5.4,11.8,20.9,153,101,13.3
Toumani Camara,30:17,.286,.286,.429,.000,9.7,3.8,7.0,10.8,0.0,2.7,22.2,11.1,83,110,-8.3
Shaedon Sharpe,28:44,.450,.375,.375,.250,6.8,19.9,12.9,9.0,6.3,0.0,22.0,29.6,87,93,-5.4
Donovan Clingan,26:16,.667,.667,.250,.000,26.1,30.5,28.1,11.3,1.7,6.2,14.3,19.9,134,97,6.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,28:12,.724,.654,.538,.385,3.5,8.1,5.6,14.6,4.8,2.9,11.6,22.8,145,98,12.8
Kris Murray,23:58,.200,.200,.200,.000,12.3,9.5,11.0,0.0,3.8,0.0,0.0,7.8,84,102,-5.9
Blake Wesley,16:19,.500,.500,.000,.000,0.0,7.0,3.2,21.5,0.0,0.0,20.0,11.4,110,110,-9.0
Caleb Love,11:09,.250,.250,.500,.000,0.0,41.0,18.9,11.2,0.0,0.0,0.0,33.5,73,101,-17.2
Yang Hansen,8:36,.129,.000,.667,.667,11.4,0.0,6.1,0.0,0.0,0.0,20.5,21.2,38,112,-24.1
Sidy Cissoko,1:14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-8.0
Duop Reath,1:14,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,300,112,71.4
Rayan Rupert,1:14,,,,,79.4,0.0,42.8,0.0,0.0,0.0,,0.0,230,112,7.4
Scoot Henderson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matisse Thybulle,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.557,.524,.417,.146,38.8,71.4,53.8,51.1,11.3,15.3,14.8,100.0,115.0,101.8,
