Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Kyshawn George,32:05,7,15,.467,3,6,.500,4,8,.500,1,8,9,4,1,2,2,4,21,16.4,0
CJ McCollum,29:06,4,14,.286,0,6,.000,1,1,1.000,2,4,6,3,0,0,0,1,9,5.1,-19
Bub Carrington,29:01,4,9,.444,3,4,.750,0,0,,0,5,5,2,1,0,1,3,11,8.0,-14
Khris Middleton,28:31,9,14,.643,3,5,.600,2,3,.667,1,5,6,3,0,0,2,4,23,17.1,-15
Alex Sarr,25:32,5,10,.500,0,0,,0,2,.000,1,10,11,3,0,0,1,1,10,8.6,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tre Johnson,26:14,5,11,.455,4,8,.500,2,2,1.000,2,3,5,2,1,1,4,1,16,11.3,-8
Cam Whitmore,19:27,6,12,.500,1,5,.200,1,1,1.000,2,3,5,1,0,0,0,1,14,10.6,-1
Corey Kispert,18:02,4,8,.500,3,7,.429,0,0,,0,1,1,1,0,1,1,0,11,7.7,-1
Marvin Bagley III,14:57,0,0,,0,0,,1,2,.500,1,2,3,1,1,0,1,2,1,1.8,-11
Justin Champagnie,5:49,0,3,.000,0,1,.000,0,0,,3,0,3,1,0,0,0,1,0,0.3,+2
Will Riley,4:28,1,1,1.000,0,0,,0,0,,0,1,1,1,1,0,0,0,2,3.7,0
Anthony Gill,1:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,+2
Sharife Cooper,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+2
AJ Johnson,1:42,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+2
Tristan Vukcevic,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
Team Totals,240,46,98,.469,17,42,.405,11,19,.579,13,43,56,23,5,4,13,19,120,,
