Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,34:44,.737,.536,.143,1.143,6.7,10.9,8.7,19.5,1.4,0.0,4.5,27.7,158,111,7.4
Jonathan Kuminga,32:54,.715,.727,.545,.182,10.7,23.0,16.6,29.9,1.5,0.0,14.4,18.4,138,110,8.2
Brandin Podziemski,32:32,.500,.500,.571,.000,3.6,23.3,13.1,8.8,1.5,0.0,12.5,10.8,103,110,-3.6
Stephen Curry,32:04,.656,.536,.643,.571,0.0,3.9,1.9,20.6,4.5,3.3,10.2,26.6,128,104,6.8
Draymond Green,28:24,.546,.583,.500,.500,4.1,26.7,15.0,46.2,1.7,7.5,35.3,17.4,106,104,4.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Buddy Hield,22:15,.773,.773,.909,.000,0.0,5.7,2.7,0.0,2.2,0.0,15.4,25.6,108,111,5.0
Al Horford,20:15,.357,.357,.571,.000,0.0,31.2,15.0,7.1,0.0,0.0,22.2,19.4,61,111,-14.7
Will Richard,13:35,1.250,1.250,.500,.000,8.6,0.0,4.5,11.4,3.5,0.0,0.0,6.4,247,108,8.7
Gary Payton II,12:04,.500,.500,.167,.000,9.7,10.5,10.1,15.3,4.0,8.8,33.3,32.6,72,100,-10.9
Quinten Post,8:34,,,,,0.0,29.5,14.2,14.7,0.0,0.0,,0.0,245,112,-0.9
Gui Santos,2:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.5,0,116,-22.5
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.656,.596,.513,.372,22.0,81.6,50.6,76.3,10.0,8.9,17.3,100.0,118.7,108.7,
