Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,40:50,.424,.391,.565,.174,3.2,33.9,19.6,32.0,1.2,2.5,7.5,30.4,102,125,-1.5
Jamal Murray,40:01,.599,.575,.200,.100,3.3,5.8,4.6,36.4,3.7,0.0,12.6,27.7,122,127,3.2
Aaron Gordon,38:39,1.058,1.048,.524,.286,0.0,23.8,12.8,9.9,0.0,2.6,7.8,30.8,180,130,25.3
Christian Braun,38:27,.429,.429,.143,.000,6.9,6.0,6.4,5.9,0.0,0.0,22.2,10.9,90,136,-12.1
Cameron Johnson,32:01,.313,.313,.750,.000,0.0,10.8,5.8,6.9,1.6,0.0,11.1,13.1,69,131,-11.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway Jr.,21:45,.625,.625,.625,.000,6.1,5.3,5.7,0.0,2.3,0.0,0.0,17.1,125,131,-1.4
Bruce Brown,19:22,.667,.667,.000,.000,6.8,23.8,15.9,18.0,2.6,0.0,0.0,7.2,167,126,1.6
Peyton Watson,15:58,1.136,,,,8.3,7.2,7.7,6.5,0.0,6.4,69.4,8.4,102,131,-6.8
Jonas Valančiūnas,12:10,.800,.800,.000,.000,0.0,28.4,15.2,25.9,0.0,8.4,0.0,19.1,166,125,12.0
Spencer Jones,5:47,,,,,0.0,0.0,0.0,0.0,8.6,0.0,100.0,8.0,0,118,-5.1
DaRon Holmes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Julian Strawther,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.647,.621,.421,.147,17.5,78.3,50.0,62.7,7.5,7.7,11.4,100.0,123.6,129.3,
