Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Shai Gilgeous-Alexander,45:21,15,31,.484,2,7,.286,23,26,.885,0,8,8,5,2,1,2,4,55,43.1,+9
Luguentz Dort,43:26,2,6,.333,1,4,.250,2,2,1.000,4,4,8,2,1,0,3,4,7,5.4,+1
Chet Holmgren,38:57,4,12,.333,0,6,.000,7,8,.875,3,9,12,2,2,0,3,3,15,11.8,+1
Isaiah Hartenstein,36:54,2,4,.500,0,0,,1,3,.333,0,14,14,2,0,0,2,5,5,3.8,+6
Aaron Wiggins,35:45,7,14,.500,5,9,.556,4,4,1.000,0,9,9,0,0,1,1,4,23,16.8,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ajay Mitchell,38:07,9,19,.474,0,3,.000,8,8,1.000,1,2,3,4,1,0,1,2,26,19.6,+12
Ousmane Dieng,15:19,0,3,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,2,0,-2.6,-1
Jaylin Williams,14:31,2,3,.667,1,2,.500,0,0,,0,2,2,2,0,0,2,4,5,2.1,-9
Brooks Barnhizer,14:15,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,3,2,1.1,-6
Chris Youngblood,6:19,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,1.9,+8
Branden Carlson,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
Team Totals,290,43,95,.453,10,35,.286,45,51,.882,9,51,60,17,6,2,14,33,141,,
