Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Austin Reaves,39:09,.728,.659,.364,.636,0.0,10.0,5.4,25.5,3.5,0.0,22.1,36.2,117,114,7.8
Rui Hachimura,36:25,.581,.583,.417,.333,3.1,13.4,8.7,4.1,0.0,2.2,17.9,18.0,99,120,-4.7
Deandre Ayton,35:33,.533,.533,.000,.000,16.1,8.3,11.9,9.2,2.5,2.3,16.7,19.8,103,116,-3.7
Jake LaRavia,29:05,.218,.167,.500,.333,3.9,16.8,10.9,21.5,0.0,0.0,12.7,10.6,79,119,-7.4
Jarred Vanderbilt,28:02,.589,.545,.091,.182,16.3,14.0,15.1,17.3,4.8,0.0,7.8,18.0,129,109,6.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dalton Knecht,24:42,.542,.462,.615,.308,0.0,7.9,4.3,6.4,3.7,3.2,11.9,26.6,104,113,0.7
Nick Smith Jr.,20:04,.200,.200,.400,.000,0.0,14.6,7.9,19.1,0.0,4.0,28.6,13.7,53,119,-12.0
Bronny James,19:41,.000,.000,.000,.000,5.8,10.0,8.0,18.3,2.3,4.1,60.0,10.0,40,115,-9.0
Chris Mañon,3:59,,,,,0.0,24.6,13.2,0.0,0.0,0.0,,0.0,0,116,-14.4
Christian Koloko,3:20,,,,,0.0,29.4,15.8,0.0,0.0,0.0,,0.0,0,113,-5.3
Jaxson Hayes,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Maxi Kleber,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.554,.506,.314,.302,28.6,61.2,46.2,57.5,10.4,8.3,20.4,100.0,101.8,115.0,
