Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Lauri Markkanen,33:29,8,13,.615,4,7,.571,0,0,,2,4,6,5,0,0,1,0,20,19.2,+19
Keyonte George,29:55,6,12,.500,1,7,.143,3,4,.750,0,2,2,9,2,0,3,1,16,15.1,+18
Walker Kessler,28:40,7,7,1.000,2,2,1.000,6,8,.750,2,7,9,4,2,4,1,5,22,27.2,+13
Kyle Filipowski,24:32,4,10,.400,1,6,.167,0,0,,2,2,4,5,0,1,0,5,9,7.8,+7
Svi Mykhailiuk,24:26,3,4,.750,3,4,.750,0,0,,0,1,1,3,1,0,0,0,9,10.8,+20
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Brice Sensabaugh,22:41,7,13,.538,3,7,.429,3,3,1.000,0,4,4,2,1,0,1,5,20,14.3,+8
Ace Bailey,20:10,1,5,.200,0,2,.000,0,0,,1,3,4,2,0,0,1,1,2,0.5,+5
Taylor Hendricks,18:42,4,6,.667,2,3,.667,3,4,.750,2,4,6,0,1,1,2,1,13,11.9,+4
Walter Clayton,18:05,4,8,.500,1,3,.333,1,1,1.000,3,3,6,5,2,0,2,2,10,11.7,+3
Jusuf Nurkić,16:56,4,9,.444,0,3,.000,0,0,,1,3,4,3,2,0,1,1,8,7.6,+9
Cody Williams,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
Kyle Anderson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Elijah Harkless,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Oscar Tshiebwe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,87,.552,17,44,.386,16,20,.800,13,33,46,38,11,6,13,21,129,,
