Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tobias Harris,34:24,4,12,.333,1,3,.333,1,1,1.000,2,7,9,4,1,0,0,2,10,9.7,-8
Cade Cunningham,34:16,8,24,.333,1,6,.167,6,10,.600,2,5,7,10,1,0,3,6,23,13.3,-6
Ausar Thompson,33:02,5,8,.625,0,0,,1,3,.333,0,9,9,7,1,1,1,3,11,13.7,+6
Duncan Robinson,32:22,1,7,.143,0,5,.000,0,0,,0,0,0,0,0,0,1,3,2,-4.7,-7
Jalen Duren,19:45,7,12,.583,0,0,,1,2,.500,4,2,6,1,1,2,1,4,15,12.9,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ron Holland,26:58,6,10,.600,1,4,.250,6,6,1.000,0,4,4,3,2,1,2,5,19,16.4,+2
Isaiah Stewart,24:54,8,14,.571,2,2,1.000,2,2,1.000,5,5,10,2,0,4,0,3,20,21.4,+8
Caris LeVert,21:27,3,7,.429,1,3,.333,1,2,.500,0,1,1,2,1,0,1,1,8,5.2,-7
Javonte Green,9:31,0,2,.000,0,0,,0,0,,0,0,0,0,1,1,0,0,0,0.3,+4
Paul Reed,3:21,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,1,1,2,3,1.6,-3
Daniss Jenkins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Colby Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bobi Klintman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chaz Lanier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tolu Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,97,.443,7,24,.292,18,26,.692,13,33,46,29,8,10,10,29,111,,
