Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyshawn George,32:05,.567,.567,.400,.533,2.8,24.4,13.2,16.8,1.4,5.5,9.7,25.7,114,119,1.4
CJ McCollum,29:06,.312,.286,.429,.071,6.2,13.5,9.7,12.6,0.0,0.0,0.0,20.0,89,129,-12.7
Bub Carrington,29:01,.611,.611,.444,.000,0.0,16.9,8.1,8.4,1.6,0.0,10.0,13.9,117,125,-4.5
Khris Middleton,28:31,.751,.750,.357,.214,3.2,17.2,9.9,16.4,0.0,0.0,11.5,24.4,137,128,2.3
Alex Sarr,25:32,.460,.500,.000,.200,3.5,38.4,20.3,15.4,0.0,0.0,8.4,18.7,101,126,-5.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tre Johnson,26:14,.673,.636,.727,.182,6.9,11.2,9.0,9.9,1.7,3.4,25.2,24.3,108,122,0.1
Cam Whitmore,19:27,.563,.542,.417,.083,9.3,15.1,12.1,7.9,0.0,0.0,0.0,25.7,126,129,-1.8
Corey Kispert,18:02,.688,.688,.875,.000,0.0,5.4,2.6,7.5,0.0,4.9,11.1,20.1,122,126,1.4
Marvin Bagley III,14:57,.568,,,,6.1,13.1,9.4,7.0,3.0,0.0,53.2,5.1,97,122,-9.0
Justin Champagnie,5:49,.000,.000,.333,.000,46.7,0.0,24.3,17.9,0.0,0.0,0.0,20.7,81,130,-18.4
Will Riley,4:28,1.000,1.000,.000,.000,0.0,21.9,10.5,30.5,10.1,0.0,0.0,9.0,210,105,19.8
Sharife Cooper,1:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.7,0,131,-36.7
Anthony Gill,1:42,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,200,130,3.3
AJ Johnson,1:42,,,,,0.0,57.6,27.7,61.4,0.0,0.0,,0.0,237,124,13.2
Tristan Vukcevic,1:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,-10.8
Team Totals,240,.564,.556,.429,.194,24.5,87.8,54.9,50.0,4.7,7.4,10.9,100.0,113.1,125.3,
