Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Norman Powell,36:25,9,19,.474,4,8,.500,6,7,.857,2,7,9,4,1,1,3,4,28,21.3,+12
Davion Mitchell,34:46,7,15,.467,2,6,.333,0,0,,2,4,6,12,2,1,1,4,16,19.4,+2
Bam Adebayo,34:12,4,13,.308,1,5,.200,6,7,.857,3,9,12,2,0,0,4,3,15,8.1,-2
Andrew Wiggins,31:51,6,12,.500,1,5,.200,5,7,.714,0,4,4,1,1,1,1,4,18,12.2,-21
Nikola Jović,23:07,2,6,.333,2,3,.667,3,4,.750,0,3,3,0,1,0,3,2,9,3.3,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaime Jaquez Jr.,29:49,6,7,.857,0,1,.000,1,2,.500,1,5,6,1,2,0,2,3,13,11.8,-1
Simone Fontecchio,18:58,6,9,.667,1,3,.333,0,0,,1,1,2,1,0,0,1,2,13,9.0,-9
Kel'el Ware,13:48,3,5,.600,1,2,.500,0,0,,1,3,4,0,1,1,1,2,7,6.2,-2
Dru Smith,13:14,1,4,.250,0,1,.000,0,0,,0,1,1,5,1,0,1,2,2,2.6,-6
Pelle Larsson,3:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-1
Myron Gardner,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vladislav Goldin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keshad Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Terry Rozier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,91,.484,12,35,.343,21,27,.778,10,37,47,26,9,4,19,28,121,,
