Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Franz Wagner,35:30,.611,.588,.294,.353,0.0,11.5,5.8,27.2,2.5,0.0,9.2,24.3,121,111,4.4
Paolo Banchero,35:23,.539,.441,.176,.706,0.0,31.7,16.0,4.2,1.2,2.4,8.2,27.4,104,108,-0.5
Desmond Bane,32:31,.557,.472,.333,.333,0.0,12.6,6.3,14.0,0.0,5.3,16.2,30.2,99,112,-2.3
Wendell Carter Jr.,29:30,.625,.400,.200,1.000,17.7,10.4,14.0,4.2,1.5,2.9,21.7,12.4,127,111,-2.0
Jalen Suggs,16:30,1.000,1.000,.429,.000,0.0,24.8,12.5,23.7,5.3,0.0,22.2,21.7,141,101,14.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyus Jones,23:30,.000,.000,.750,.000,4.4,4.3,4.4,14.6,0.0,3.6,33.3,10.2,42,115,-8.8
Anthony Black,23:19,.389,.389,.222,.000,0.0,13.1,6.6,17.2,0.0,3.7,0.0,15.4,96,113,-3.5
Goga Bitadze,18:30,.820,.750,.250,.500,16.9,27.6,22.3,30.3,2.4,4.6,0.0,10.5,190,104,16.4
Tristan Da Silva,18:15,.820,.813,.625,.500,0.0,5.6,2.8,0.0,0.0,0.0,9.3,23.5,139,118,7.8
Jonathan Isaac,7:02,.000,.000,1.000,.000,0.0,14.5,7.3,0.0,6.2,0.0,0.0,5.7,0,102,-2.4
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Noah Penda,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jase Richardson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.593,.533,.333,.389,19.6,78.7,49.5,54.8,7.3,12.5,12.5,100.0,114.1,110.5,
